"","coefficients","replicate","pval","treatment_site"
"siteDB...31",0.0270418948433157,16,0.268894710647396,"siteDB"
"sitePW...32",-0.00659585902861108,16,0.792921637624859,"sitePW"
"siteDB...33",-0.348058479399396,17,2.8508017551241e-42,"siteDB"
"sitePW...34",-0.150187832989428,17,2.03799388209774e-09,"sitePW"
"siteDB...35",-0.489576182362896,18,1.20806092062754e-90,"siteDB"
"sitePW...36",-0.340759892909906,18,3.60957304704041e-46,"sitePW"
"siteDB...37",-0.282737499111957,19,4.86392788222865e-32,"siteDB"
"sitePW...38",-0.0748383090429667,19,0.00145214231021542,"sitePW"
"siteDB...39",-0.34328136882539,20,7.88971959347377e-42,"siteDB"
"sitePW...40",0.0370657468065246,20,0.118236997541564,"sitePW"
"siteDB...41",-0.405719697280975,21,1.26336595232517e-62,"siteDB"
"sitePW...42",-0.396706504423212,21,1.15957350229623e-57,"sitePW"
"siteDB...43",-0.237030493857722,22,3.5675622566471e-23,"siteDB"
"sitePW...44",-0.145506799251562,22,5.58348250471986e-10,"sitePW"
"siteDB...45",-0.333530353685939,23,4.3061764349373e-41,"siteDB"
"sitePW...46",-0.224343457273356,23,4.25687609351868e-20,"sitePW"
"siteDB...47",-0.462433659113849,24,1.83418753440381e-75,"siteDB"
"sitePW...48",-0.110650207885247,24,1.99210301950372e-06,"sitePW"
"siteDB...49",-0.362959857136234,25,2.33800219208127e-50,"siteDB"
"sitePW...50",-0.152926445418605,25,8.36090342678753e-11,"sitePW"
"siteDB...51",-0.279182544179158,26,2.37618303706429e-24,"siteDB"
"sitePW...52",0.208096504763988,26,3.047790918527e-16,"sitePW"
"siteDB...53",-0.184109013272379,27,1.80174047748308e-14,"siteDB"
"sitePW...54",-0.141410144208992,27,5.8215406915771e-09,"sitePW"
"siteDB...55",-0.405688802881571,28,2.77012444098804e-61,"siteDB"
"sitePW...56",-0.216446933743926,28,4.01645236351092e-19,"sitePW"
"siteDB...57",-0.339473591293536,29,2.56304861537743e-44,"siteDB"
"sitePW...58",-0.178375852122459,29,5.63601290365891e-14,"sitePW"
"siteDB...59",-0.214440945100329,30,1.65742562100027e-17,"siteDB"
"sitePW...60",-0.0758676781326112,30,0.00209479792771468,"sitePW"
"siteDB...61",-0.483121924711537,31,6.82041886987866e-85,"siteDB"
"sitePW...62",-0.135605660198498,31,9.1601295901425e-09,"sitePW"
"siteDB...63",-0.491946903483253,32,1.99849379645891e-88,"siteDB"
"sitePW...64",-0.154526021625036,32,1.18786213203399e-11,"sitePW"
"siteDB...65",-0.342996462437881,33,9.00533117125368e-48,"siteDB"
"sitePW...66",-0.150010787557646,33,7.51162645282696e-11,"sitePW"
"siteDB...67",-0.270948015786012,34,1.19375471900596e-25,"siteDB"
"sitePW...68",0.0152958999881376,34,0.530631145154277,"sitePW"
"siteDB...69",-0.252769944295115,35,1.07088530412864e-25,"siteDB"
"sitePW...70",0.00297581005901294,35,0.898378204228242,"sitePW"
"siteDB...71",-0.336056702986735,36,9.01939040462012e-43,"siteDB"
"sitePW...72",-0.0782202817005592,36,0.00071407092451575,"sitePW"
"siteDB...73",-0.170702954625537,37,1.26404712558637e-11,"siteDB"
"sitePW...74",0.0157099782792446,37,0.510532761780809,"sitePW"
"siteDB...75",-0.0670832718386467,38,0.00570684522757477,"siteDB"
"sitePW...76",-0.0667954406253818,38,0.00629810427221973,"sitePW"
"siteDB...77",-0.359353972102013,39,3.27479620782761e-47,"siteDB"
"sitePW...78",-0.254197126856681,39,6.13387668788518e-25,"sitePW"
"siteDB...79",-0.262963625499294,40,1.18545864323587e-28,"siteDB"
"sitePW...80",-0.134856721540768,40,5.89237381326205e-09,"sitePW"
"siteDB...81",-0.263263992790677,41,5.19412003476347e-26,"siteDB"
"sitePW...82",-0.000571976767177664,41,0.981192023752596,"sitePW"
"siteDB...83",-0.180297188052498,42,5.46805302520495e-14,"siteDB"
"sitePW...84",-0.112352631741275,42,2.87503729060686e-06,"sitePW"
"siteDB...85",-0.47075362398119,43,1.13043947803598e-78,"siteDB"
"sitePW...86",-0.242894730654519,43,3.59265955648621e-24,"sitePW"
"siteDB...87",-0.251169639056929,44,7.15824881662611e-22,"siteDB"
"sitePW...88",-0.0850670293286942,44,0.000582035658938496,"sitePW"
"siteDB...89",-0.343914071610308,45,7.34922044060979e-39,"siteDB"
"sitePW...90",0.0482196071053674,45,0.0467542266379947,"sitePW"
"siteDB...91",-0.252735449816904,46,2.25138314812741e-24,"siteDB"
"sitePW...92",-0.0958017777563712,46,7.25534173216752e-05,"sitePW"
"siteDB...93",-0.355055266479059,47,2.00688017041968e-51,"siteDB"
"sitePW...94",-0.259685360998473,47,8.37860768933519e-29,"sitePW"
"siteDB...95",-0.239140005785369,48,2.71603203039378e-21,"siteDB"
"sitePW...96",-0.0167413927229807,48,0.492833250895057,"sitePW"
"siteDB...97",-0.478247318479217,49,1.35633334878561e-79,"siteDB"
"sitePW...98",-0.156409142152316,49,5.06267867853831e-11,"sitePW"
"siteDB...99",-0.137690662673122,50,1.89670429013244e-08,"siteDB"
"sitePW...100",-0.0157165878150526,50,0.519823972519023,"sitePW"
"siteDB...101",-0.258385255179427,51,6.60374898921464e-27,"siteDB"
"sitePW...102",-0.0497396096671782,51,0.0316298928503831,"sitePW"
"siteDB...103",-0.32451850838029,52,4.46841941455763e-43,"siteDB"
