"","coefficients","replicate","pval","treatment_site"
"treatment20C...113",-0.57007698700321,17,1.18580996489921e-99,"treatment20C"
"siteCI5...114",0.0718231470168489,17,0.00288942523548011,"siteCI5"
"siteDB...115",-0.60182355834415,17,6.31720565149624e-125,"siteDB"
"sitePW...116",-0.411127089187763,17,9.04617631481453e-62,"sitePW"
"treatment20C:siteCI5...117",0.23990995781897,17,3.72061299953281e-11,"treatment20C:siteCI5"
"treatment20C:siteDB...118",0.539555346553086,17,2.65600555623738e-48,"treatment20C:siteDB"
"treatment20C:sitePW...119",0.084859497668619,17,0.0228808299075566,"treatment20C:sitePW"
"treatment20C...120",-0.683120000601997,18,4.55559863945331e-134,"treatment20C"
"siteCI5...121",0.0251556259313027,18,0.28172851339842,"siteCI5"
"siteDB...122",-0.644119749178603,18,6.97472326488649e-149,"siteDB"
"sitePW...123",-0.504718615823131,18,5.24914726271782e-95,"sitePW"
"treatment20C:siteCI5...124",0.499073637024923,18,5.56471512498678e-44,"treatment20C:siteCI5"
"treatment20C:siteDB...125",0.413968616512861,18,1.58637102335969e-27,"treatment20C:siteDB"
"treatment20C:sitePW...126",0.297722865383119,18,2.018714541006e-15,"treatment20C:sitePW"
"treatment20C...127",-0.522333036569841,19,2.64918964413271e-86,"treatment20C"
"siteCI5...128",-0.0684701756151953,19,0.00509378946127893,"siteCI5"
"siteDB...129",-0.531788164254636,19,7.19080754243225e-110,"siteDB"
"sitePW...130",-0.329643426214834,19,2.52344197701488e-45,"sitePW"
"treatment20C:siteCI5...131",0.334160855020109,19,2.40721744459013e-20,"treatment20C:siteCI5"
"treatment20C:siteDB...132",0.303996049764452,19,3.77183635793058e-17,"treatment20C:siteDB"
"treatment20C:sitePW...133",0.098912200687351,19,0.00529993016004606,"treatment20C:sitePW"
"treatment20C...134",-0.777904446164937,20,2.67335967938826e-174,"treatment20C"
"siteCI5...135",0.090319281746692,20,9.08157322805581e-05,"siteCI5"
"siteDB...136",-0.69644297556306,20,1.96402170029663e-177,"siteDB"
"sitePW...137",-0.317036426530396,20,4.71084138159101e-44,"sitePW"
"treatment20C:siteCI5...138",0.332765201102615,20,8.80408804516532e-20,"treatment20C:siteCI5"
"treatment20C:siteDB...139",0.568440854547089,20,5.09570785137707e-51,"treatment20C:siteDB"
"treatment20C:sitePW...140",0.420656078920465,20,3.95593516271437e-32,"treatment20C:sitePW"
"treatment20C...141",-0.517337499215526,21,5.53136886952554e-87,"treatment20C"
"siteCI5...142",0.0374732028123509,21,0.118421382339582,"siteCI5"
"siteDB...143",-0.634140921272002,21,8.95503247535356e-144,"siteDB"
"sitePW...144",-0.628125267674906,21,5.81228534281314e-136,"sitePW"
"treatment20C:siteCI5...145",0.252704733492373,21,6.25934165893714e-13,"treatment20C:siteCI5"
"treatment20C:siteDB...146",0.208648069029467,21,1.4864581330278e-08,"treatment20C:siteDB"
"treatment20C:sitePW...147",0.247195131648888,21,1.07546738231031e-11,"treatment20C:sitePW"
"treatment20C...148",-0.666409858504488,22,2.05193876229511e-133,"treatment20C"
"siteCI5...149",0.113134347792356,22,1.17003588238437e-06,"siteCI5"
"siteDB...150",-0.492017369289514,22,3.64185778838553e-94,"siteDB"
"sitePW...151",-0.400526929573406,22,1.53560668529153e-65,"sitePW"
"treatment20C:siteCI5...152",0.30070569627506,22,3.87014228209977e-17,"treatment20C:siteCI5"
"treatment20C:siteDB...153",0.494601302211048,22,3.89321145098805e-42,"treatment20C:siteDB"
"treatment20C:sitePW...154",0.364684604944457,22,4.45114013280105e-24,"treatment20C:sitePW"
"treatment20C...155",-0.793994975969017,23,8.23141956283148e-175,"treatment20C"
"siteCI5...156",-0.0689602819985774,23,0.00335258060618934,"siteCI5"
"siteDB...157",-0.6670374985182,23,4.22599682986186e-165,"siteDB"
"sitePW...158",-0.54861627549544,23,1.4202317463624e-116,"sitePW"
"treatment20C:siteCI5...159",0.528054536359477,23,3.20202767552056e-46,"treatment20C:siteCI5"
"treatment20C:siteDB...160",0.64381457039302,23,1.07645599629471e-64,"treatment20C:siteDB"
"treatment20C:sitePW...161",0.472319690570725,23,1.51329254501012e-36,"treatment20C:sitePW"
"treatment20C...162",-0.579607171322795,24,6.23196009380201e-95,"treatment20C"
"siteCI5...163",0.139934762985054,24,1.47522328136427e-08,"siteCI5"
"siteDB...164",-0.597157596769842,24,6.80263754950071e-117,"siteDB"
"sitePW...165",-0.256921328169593,24,2.11322992732865e-26,"sitePW"
